Model,RMSE,MAE,R2
Hybrid CNN-Transformer-LSTM,3.837733977919984,2.839213243775359,0.8762804688910208
CNN-LSTM-Attn,4.153589962779191,3.117180217194308,0.8550775146016297
Simple RNN,5.436109962026365,4.161756132208259,0.751763867086054
CNN-Transformer,5.844745177222366,4.573223273103631,0.7130411035960831
DNN,7.696384754538314,6.421313360744408,0.502420966500765
